Raison sociale;Code postal;Ville;Tiers facturé;Pays;Nature;Numéro;Date pièce;Date Eche.;Devise;Total TTC;Acompte;Net à payer;Conditions de règlement;Code SIRET;Secteur activité;Commentaire;Tiers;Modifiable
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401534;14/03/2024;12/06/2024;EUR;1,4;0;1,4;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401535;14/03/2024;12/06/2024;EUR;109,65;0;109,65;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401536;14/03/2024;12/06/2024;EUR;4653,5;0;4653,5;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401537;14/03/2024;12/06/2024;EUR;5787,87;0;5787,87;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401538;14/03/2024;12/06/2024;EUR;3092,62;0;3092,62;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401539;14/03/2024;12/06/2024;EUR;1418,96;0;1418,96;V12;;013;4640905;301;FAUX
CA NUANCE SA;1132;LULLY;C30100;SUISSE;Facture client;202401540;14/03/2024;12/06/2024;EUR;354,74;0;354,74;V12;;013;4640905;301;FAUX
OPTIMA TRAVAUX & SERVICES;94700;MAISONS ALFORT;C18963;FRANCE;Facture client;202401541;14/03/2024;14/03/2024;EUR;873,48;873;0;CPT;812364032;001;;18963;FAUX
LUX HOME LIGHTING;69400;GLEIZE;C14161;FRANCE;Facture client;202401542;14/03/2024;13/04/2024;EUR;8040,74;0;8040,74;V01;83345938100012;006;6599801;14161;FAUX
SETELEC;77183;CROISSY BEAUBOURG;C18621;FRANCE;Facture client;202401543;14/03/2024;14/03/2024;EUR;15,59;16;0;CPT;41398059000066;001;;18621;FAUX
ASSA ABLOY HOSPITALITY SAS;92150;SURESNES;C10085;FRANCE;Facture client;202401544;14/03/2024;10/05/2024;EUR;6772,25;0;6772,25;V06;323946863;005;6542137;10085;FAUX
CUST' HOME PACA;06700;ST LAURENT DU VAR;C27760;FRANCE;Facture client;202401545;14/03/2024;13/04/2024;EUR;2242,01;0;2242,01;V07;45381605000018;001;6703816;2776;FAUX
PROLUM CONTREJOUR;51450;BETHENY;C86730;FRANCE;Facture client;202401546;14/03/2024;30/04/2024;EUR;2910,78;0;2910,78;V08;501624613;006;4718356;8673;FAUX
HOME AND CO;80538;MÜNCHEN;C40150;ALLEMAGNE;Facture client;202401547;14/03/2024;13/04/2024;EUR;168,3;0;168,3;V07;;013;4646617;4015;FAUX
PROLUM CONTREJOUR;51450;BETHENY;C86730;FRANCE;Facture client;202401548;14/03/2024;30/04/2024;EUR;164,62;0;164,62;V08;501624613;006;4718356;8673;FAUX
LAURIA FRERES;69100;VILLEURBANNE;C90200;FRANCE;Facture client;202401549;14/03/2024;30/04/2024;EUR;4416,3;0;4416,3;V08;44138623200025;001;7128841;902;FAUX
VALENTE DESIGN;83310;COGOLIN;C15180;FRANCE;Facture client;202401550;14/03/2024;30/04/2024;EUR;5758,37;0;5758,37;V08;48132890400026;006;4640845;1518;FAUX
VALENTE DESIGN;83310;COGOLIN;C15180;FRANCE;Facture client;202401551;14/03/2024;30/04/2024;EUR;20123,93;6440;13683,46;V08;48132890400026;006;4640845;1518;FAUX
ALMA CANOVAS SARL;75116;PARIS;C17899;FRANCE;Facture client;202401552;14/03/2024;14/03/2024;EUR;12,34;12;0;CPT;90071089800017;002;;17899;FAUX
BAT2MAN;75012;PARIS;C14737;FRANCE;Facture client;202401553;14/03/2024;14/03/2024;EUR;106,2;0;106,2;V05;88153228700011;014;;14737;FAUX
ESPACE LUMIERE;75008;PARIS;C61001;FRANCE;Facture client;202401554;14/03/2024;13/04/2024;EUR;15,61;16;0;V07;30993183000041;006;4641961;610;FAUX
